Province,Year,Gini_expenditure,Concentration_gross_tax,Kakwani_gross_tax
Alberta,2019,0.28660870557118057,,
Alberta,2020,0.28213271083185965,0.16174471392371315,-0.1203879969081465
Alberta,2021,0.27727272727272734,0.17146685252242078,-0.10580587475030656
Alberta,2022,0.28226297728595573,0.1514478590007745,-0.13081511828518122
Alberta,2023,0.2865361288056052,0.13821886712720877,-0.14831726167839643
Alberta,2024,0.2865361288056052,0.13834571639115145,-0.14819041241445374
Alberta,2025,0.2865361288056052,,
Manitoba,2019,0.2887420730494731,0.24910667923610297,-0.03963539381337011
Manitoba,2020,0.27952696630852203,0.24070124102161772,-0.03882572528690431
Manitoba,2021,0.2700223117121676,0.23132603405130303,-0.038696277660864586
Manitoba,2022,0.28015486372322795,0.24636527860487867,-0.033789585118349286
Manitoba,2023,0.2896323266085712,0.258649272728834,-0.03098305387973721
Manitoba,2024,0.2896323266085712,0.2595169936069541,-0.03011533300161706
Manitoba,2025,0.2896323266085712,,
Ontario,2019,0.2934980269648142,0.19288594069220966,-0.10061208627260454
Ontario,2020,0.2961848784397543,0.19517082298503252,-0.10101405545472175
Ontario,2021,0.29887139862726564,0.19875080501678755,-0.10012059361047809
Ontario,2022,0.3053823013426453,0.1891791449715281,-0.11620315637111722
Ontario,2023,0.3107667626295414,0.17917962589762215,-0.13158713673191924
Ontario,2024,0.3107667626295414,0.17928146445187632,-0.13148529817766508
Ontario,2025,0.3107667626295414,,
Saskatchewan,2019,0.2929105551361879,0.214816215905564,-0.07809433923062392
Saskatchewan,2020,0.2845988184091597,0.19207427138786504,-0.09252454702129465
Saskatchewan,2021,0.2758145275035262,0.16310868742268392,-0.11270584008084228
Saskatchewan,2022,0.2768718180396518,0.1904738735905397,-0.08639794444911209
Saskatchewan,2023,0.2778990099688261,0.2147180069253558,-0.0631810030434703
Saskatchewan,2024,0.2778990099688261,0.21412183355557313,-0.06377717641325298
Saskatchewan,2025,0.2778990099688261,,
